Frequency (Hz),Realised Gain (dB),Antenna Factor (dB),S11 (dB)
55047619.05,-22.0298907,27.06466149,-2.279043888
55809523.81,-23.17356542,28.32773175,-2.275228871
56571428.57,-24.14013922,29.41208214,-2.276968196
57333333.33,-24.56136679,29.94951063,-2.280830811
58095238.1,-24.32295586,29.82576657,-2.285670229
58857142.86,-23.86101612,29.47699964,-2.294900678
59619047.62,-23.2912798,29.01898048,-2.306041478
60380952.38,-22.89445328,28.73245245,-2.318267341
61142857.14,-22.40242617,28.34934075,-2.330757409
61904761.9,-21.94878258,28.00326373,-2.34160077
62666666.67,-21.51434826,27.67508016,-2.349531326
63428571.43,-21.29660642,27.56230503,-2.359990149
64190476.19,-21.2508608,27.62027275,-2.37120639
64952380.95,-21.37310456,27.84500607,-2.377824666
65714285.71,-21.53305974,28.10625558,-2.374034871
66476190.48,-21.61546974,28.28879221,-2.366575233
67238095.24,-21.44890708,28.22121512,-2.358961251
68000000,-20.81534194,27.68552019,-2.354935993
68761904.76,-20.05798367,27.02494164,-2.355641661
69523809.52,-19.33164006,26.39431129,-2.361887986
70285714.29,-19.28364902,26.44099028,-2.37757896
71047619.05,-19.56399589,26.81498646,-2.405830904
71809523.81,-20.09373218,27.43737311,-2.449343135
72571428.57,-20.41592059,27.85123403,-2.542654916
73333333.33,-20.5101325,28.03616102,-2.675116994
74095238.1,-20.51682528,28.13263124,-2.820630552
74857142.86,-20.57279571,28.27746065,-2.854550448
75619047.62,-20.93973339,28.73235745,-2.833557624
76380952.38,-21.44386072,29.3235621,-2.825940366
77142857.14,-21.71465794,29.68057234,-2.846306346
77904761.9,-21.33259964,29.38387973,-2.875059521
78666666.67,-20.31842603,28.454241,-2.922869065
79428571.43,-19.07832149,27.29785653,-2.992817589
80190476.19,-17.84190753,26.14436338,-3.065907116
80952380.95,-16.63444834,25.01904087,-3.103114155
81714285.71,-15.20500935,23.67096913,-3.085116496
82476190.48,-13.37544369,21.92201555,-3.038297303
83238095.24,-11.33566582,19.96210849,-2.980636689
84000000,-9.439921737,18.14550746,-2.93231136
84761904.76,-8.160186149,16.9442003,-2.863623609
85523809.52,-7.209799456,16.07154021,-2.796321839
86285714.29,-6.40664244,15.34542041,-2.725204905
87047619.05,-5.613902081,14.62904001,-2.648441462
87809523.81,-5.102875473,14.19370791,-2.598109259
88571428.57,-4.816174507,13.9820475,-2.528903575
89333333.33,-4.698282747,13.93855353,-2.436661882
90095238.1,-4.660753157,13.9747899,-2.322818628
90857142.86,-4.852714598,14.23989611,-2.20846808
91619047.62,-5.299154117,14.75886958,-2.112666876
92380952.38,-5.739785151,15.27143386,-2.037626421
93142857.14,-6.148351989,15.7513431,-1.983238026
93904761.9,-6.511219945,16.18497226,-1.946927979
94666666.67,-7.203314909,16.94725662,-1.924338358
95428571.43,-7.983927983,17.79749643,-1.913294411
96190476.19,-8.617029423,18.49967092,-1.909823875
96952380.95,-8.979200176,18.93036975,-1.906707143
97714285.71,-9.192853704,19.21201494,-1.881417794
98476190.48,-9.466947903,19.5535727,-1.85104935
99238095.24,-9.694906148,19.84847455,-1.820070658
100000000,-9.928758797,20.1487588,-1.792502638
100761904.8,-10.12292064,20.40884801,-1.788147306
101523809.5,-10.32057624,20.67193435,-1.792073711
102285714.3,-10.46195076,20.87825041,-1.797786061
103047619,-10.5598938,21.04065303,-1.79946826
103809523.8,-10.62084172,21.1655857,-1.790160175
104571428.6,-10.6455782,21.25383902,-1.781241144
105333333.3,-10.62894204,21.3002586,-1.774687163
106095238.1,-10.53889434,21.27281217,-1.772327874
106857142.9,-10.39520783,21.19127899,-1.779213132
107619047.6,-10.1986244,21.05640729,-1.79484819
108380952.4,-9.972992937,20.8920522,-1.818593965
109142857.1,-9.684320091,20.66422646,-1.850135736
109904761.9,-9.317177199,20.35750739,-1.889063514
110666666.7,-8.867542808,19.96787939,-1.939284223
111428571.4,-8.452177479,19.61210873,-1.990730764
112190476.2,-8.217945663,19.43706549,-2.04023081
112952381,-8.247256715,19.52516451,-2.084795406
113714285.7,-8.577562436,19.91386299,-2.119878729
114476190.5,-9.151280525,20.5455839,-2.141539479
115238095.2,-9.951448594,21.40337002,-2.151156699
116000000,-10.88367242,22.3928322,-2.151161591
116761904.8,-11.9365857,23.50260912,-2.173810085
117523809.5,-12.98378302,24.60630023,-2.2354013
118285714.3,-13.74669515,25.42534109,-2.336393365
119047619,-13.97935472,25.713769,-2.474605712
119809523.8,-13.62693134,25.41675818,-2.628631948
120571428.6,-13.11752454,24.96241268,-2.774366916
121333333.3,-12.69774184,24.59734442,-2.919449143
122095238.1,-12.40108045,24.35505497,-3.069732887
122857142.9,-12.0366457,24.04465392,-3.23742811
123619047.6,-11.53348524,23.59519311,-3.404245727
124380952.4,-10.94019104,23.0552686,-3.594172729
125142857.1,-10.31865357,22.48677489,-3.816751664
125904761.9,-9.823898003,22.04474112,-4.079804032
126666666.7,-9.480655,21.75390184,-4.348410316
127428571.4,-9.263802881,21.58913917,-4.624121778
128190476.2,-8.97874162,21.35585684,-4.91563444
128952381,-8.523910008,20.95249731,-5.239823254
129714285.7,-7.904377612,20.38413378,-5.613569258
130476190.5,-7.299934491,19.83055985,-6.034624655
131238095.2,-6.886573993,19.46777236,-6.485473777
132000000,-6.780052531,19.41153116,-6.943781729
132761904.8,-7.005675296,19.68714479,-7.343535081
133523809.5,-7.571710977,20.30288527,-7.61947614
134285714.3,-8.296570374,21.07716665,-7.729274225
135047619,-8.953026419,21.78276505,-7.642020521
135809523.8,-9.39943591,22.27804044,-7.345606449
136571428.6,-9.753690334,22.68088738,-6.964644582
137333333.3,-10.17519225,23.15071147,-6.532800398
138095238.1,-10.80112033,23.82469439,-6.073197753
138857142.9,-11.69792324,24.76928774,-5.623583365
139619047.6,-12.76439663,25.88329006,-5.216232509
140380952.4,-13.68635255,26.85251624,-4.89512492
141142857.1,-13.88234335,27.09552144,-4.786661272
141904761.9,-13.19690767,26.45684705,-5.268197405
142666666.7,-10.61813348,23.92458376,-8.373116099
143428571.4,-8.61968395,21.97239741,-7.576357455
144190476.2,-7.656715174,21.0554467,-4.296206725
144952381,-7.03309726,20.47760433,-3.544254378
145714285.7,-6.58983934,20.07988197,-3.234717967
146476190.5,-6.101452338,19.63679307,-3.034865382
147238095.2,-5.351023061,18.93142687,-2.901723607
148000000,-4.37331604,17.99855035,-2.809495569
148761904.8,-3.332024071,17.00185868,-2.756412105
149523809.5,-2.421134105,16.13534117,-2.735242208
150285714.3,-1.781690428,15.54004442,-2.750137893
151047619,-1.430186896,15.23246457,-2.80463429
151809523.8,-1.29983127,15.14581163,-2.914155949
152571428.6,-1.264430724,15.15389498,-3.074720883
153333333.3,-1.124983965,15.0577155,-3.284833432
154095238.1,-0.831904944,14.80768931,-3.547451792
154857142.9,-0.394864767,14.41348961,-3.884812126
155619047.6,-0.02995369,14.09120875,-4.296297123
156380952.4,0.20053671,13.90314036,-4.788696346
157142857.1,0.259377366,13.88651554,-5.381461242
157904761.9,0.245696084,13.94220846,-6.13264041
158666666.7,0.259515439,13.97019852,-7.170344453
159428571.4,0.441096184,13.83022691,-8.663830528
