"freq_hz","gain_db"
0,0
80000000,5.72
81000000,5.1
82000000,5.87
83000000,6.12
84000000,6.2
85000000,6.36
86000000,6.21
87000000,6.51
88000000,6.57
89000000,6.6
90000000,6.62
91000000,6.61
92000000,6.58
93000000,6.57
94000000,6.56
95000000,6.61
96000000,6.67
97000000,6.66
98000000,6.72
99000000,6.78
100000000,6.76
101000000,6.72
102000000,6.7
103000000,6.67
104000000,6.68
105000000,6.72
106000000,6.74
107000000,6.76
108000000,6.78
109000000,6.77
110000000,6.73
111000000,6.72
112000000,6.71
113000000,6.72
114000000,6.7
115000000,6.69
116000000,6.71
117000000,6.73
118000000,6.77
119000000,6.8
120000000,6.8
121000000,6.77
122000000,6.78
123000000,6.74
124000000,6.7
125000000,6.66
126000000,6.63
127000000,6.64
128000000,6.63
129000000,6.57
130000000,6.47
131000000,6.23
132000000,5.78
133000000,5.49
134000000,6.15
135000000,6.55
136000000,6.68
137000000,6.73
138000000,6.72
139000000,6.72
140000000,6.72
141000000,6.73
142000000,6.74
143000000,6.75
144000000,6.78
145000000,6.82
146000000,6.85
147000000,6.84
148000000,6.82
149000000,6.81
150000000,6.8
151000000,6.76
152000000,6.73
153000000,6.74
154000000,6.73
155000000,6.73
156000000,6.71
157000000,6.66
158000000,6.57
159000000,6.37
160000000,6.6
161000000,6.65
162000000,6.64
163000000,6.61
164000000,6.56
165000000,6.49
166000000,6.4
167000000,6.33
168000000,6.24
169000000,6.16
170000000,6.08
171000000,6.02
172000000,6.06
173000000,6.16
174000000,6.28
175000000,6.4
176000000,6.48
177000000,6.55
178000000,6.6
179000000,6.61
180000000,6.62
181000000,6.63
182000000,6.65
183000000,6.7
184000000,6.74
185000000,6.76
186000000,6.77
187000000,6.76
188000000,6.74
189000000,6.71
190000000,6.7
191000000,6.73
192000000,6.75
193000000,6.74
194000000,6.72
195000000,6.71
196000000,6.68
197000000,6.67
198000000,6.69
199000000,6.71
200000000,6.7
201000000,6.7
202000000,6.71
203000000,6.78
204000000,6.82
205000000,6.82
206000000,6.81
207000000,6.83
208000000,6.85
209000000,6.82
210000000,6.77
211000000,6.74
212000000,6.75
213000000,6.74
214000000,6.72
215000000,6.69
216000000,6.66
217000000,6.61
218000000,6.54
219000000,6.39
220000000,6.34
221000000,6.39
222000000,6.61
223000000,6.63
224000000,6.61
225000000,6.58
226000000,6.54
227000000,6.5
228000000,6.46
229000000,6.47
230000000,6.5
231000000,6.53
232000000,6.52
233000000,6.47
234000000,6.4
235000000,6.35
236000000,6.32
237000000,6.28
238000000,6.21
239000000,6.12
240000000,6.07
241000000,6.04
242000000,6.04
243000000,6.04
244000000,6.03
245000000,6.01
246000000,5.99
247000000,6
248000000,6.03
249000000,6.04
250000000,6.05
251000000,6.09
252000000,6.16
253000000,6.24
254000000,6.31
255000000,6.35
256000000,6.37
257000000,6.38
258000000,6.36
259000000,6.29
260000000,6.24
261000000,6.19
262000000,6.16
263000000,6.13
264000000,6.06
265000000,6.01
266000000,6
267000000,6.04
268000000,6.07
269000000,6.04
270000000,5.99
271000000,5.94
272000000,5.91
273000000,5.95
274000000,5.99
275000000,6.02
276000000,6.04
277000000,6.06
278000000,6.07
279000000,6.08
280000000,6.15
281000000,6.22
282000000,6.28
283000000,6.34
284000000,6.36
285000000,6.29
286000000,5.88
287000000,5.48
288000000,6.18
289000000,6.34
290000000,6.43
291000000,6.48
292000000,6.49
293000000,6.45
294000000,6.39
295000000,6.38
296000000,6.38
297000000,6.35
298000000,6.32
299000000,6.32
300000000,6.32
301000000,6.32
302000000,6.3
303000000,6.32
304000000,6.31
305000000,6.32
306000000,6.34
307000000,6.33
308000000,6.31
309000000,6.26
310000000,6.22
311000000,6.21
312000000,6.21
313000000,6.22
314000000,6.24
315000000,6.26
316000000,6.29
317000000,6.3
318000000,6.3
319000000,6.3
320000000,6.34
321000000,6.34
322000000,6.34
323000000,6.35
324000000,6.37
325000000,6.38
326000000,6.36
327000000,6.33
328000000,6.3
329000000,6.28
330000000,6.27
331000000,6.25
332000000,6.22
333000000,6.19
334000000,6.1
335000000,6.03
336000000,6.01
337000000,5.99
338000000,5.96
339000000,5.94
340000000,5.91
341000000,5.91
342000000,5.92
343000000,5.91
344000000,5.89
345000000,5.89
346000000,5.9
347000000,5.92
348000000,5.94
349000000,5.96
350000000,5.98
351000000,6.01
352000000,6.03
353000000,6.05
354000000,6.06
355000000,6.09
356000000,6.11
357000000,6.09
358000000,6.11
359000000,6.15
360000000,6.17
361000000,6.18
362000000,6.19
363000000,6.2
364000000,6.21
365000000,6.24
366000000,6.26
367000000,6.27
368000000,6.29
369000000,6.4
370000000,6.45
371000000,6.38
372000000,6.32
373000000,6.29
374000000,6.27
375000000,6.25
376000000,6.24
377000000,6.23
378000000,6.21
379000000,6.19
380000000,6.15
381000000,6.1
382000000,6.04
383000000,6.02
384000000,6
385000000,5.98
386000000,5.98
387000000,5.98
